activity_id,account_id,agent_id,activity_date,activity_type,outcome
AT700001,AC50001,AG01,2023-12-15,CALL,PROMISE_TO_PAY
AT700002,AC50001,AG01,2024-01-02,CALL,PAYMENT_MADE
AT700003,AC50002,AG02,2023-12-20,LETTER,NO_RESPONSE
AT700004,AC50002,AG02,2024-01-15,CALL,LEFT_VOICEMAIL
AT700005,AC50004,AG03,2024-01-05,CALL,PROMISE_TO_PAY
AT700006,AC50004,AG03,2024-02-10,EMAIL,PAYMENT_MADE
AT700007,AC50005,AG04,2024-01-20,CALL,DISPUTE_RAISED
AT700008,AC50008,AG05,2024-02-01,LETTER,DISPUTE_RAISED
AT700009,AC50006,AG02,2024-02-15,CALL,PAYMENT_MADE
AT700010,AC50009,AG01,2024-02-25,EMAIL,PROMISE_TO_PAY
AT700011,AC50010,AG04,2024-03-01,CALL,NO_CONTACT
AT700012,AC50005,AG04,2024-03-10,CALL,PROMISE_TO_PAY
