payment_id,account_id,payment_date,payment_amount,payment_method
PM900001,AC50001,2024-01-05,500.00,ACH
PM900002,AC50001,2024-02-05,600.00,ACH
PM900003,AC50001,2024-03-05,999.50,CARD
PM900004,AC50003,2024-01-10,940.00,CARD
PM900005,AC50004,2024-02-15,1200.00,CHECK
PM900006,AC50004,2024-03-15,1500.00,ACH
PM900007,AC50006,2024-02-20,560.50,CARD
PM900008,AC50007,2024-01-25,2100.00,ACH
PM900009,AC50009,2024-03-01,445.00,CARD
PM900010,AC50001,2024-04-05,400.00,ACH
PM900011,AC50006,2024-03-22,100.00,CARD
PM900012,AC50004,2024-04-15,300.00,CARD
